Date,Time,Water_Level(m),Discharge_Through_Rating_Curve(cumecs)
13.01.2022,14:00:00,2842.6,11.4921
13.01.2022,15:00:00,2842.5,7.9225
13.01.2022,16:00:00,2842.5,7.9225
13.01.2022,17:00:00,2842.5,7.9225
13.01.2022,18:00:00,2842.5,7.9225
13.01.2022,19:00:00,2842.5,7.9225
13.01.2022,20:00:00,2842.5,7.9225
13.01.2022,21:00:00,2842.5,7.9225
13.01.2022,22:00:00,2842.5,7.9225
13.01.2022,23:00:00,2842.5,7.9225
14.01.2022,0:00:00,2842.5,7.9225
14.01.2022,1:00:00,2842.5,7.9225
14.01.2022,2:00:00,2842.5,7.9225
14.01.2022,3:00:00,2842.5,7.9225
14.01.2022,4:00:00,2842.5,7.9225
14.01.2022,5:00:00,2842.5,7.9225
14.01.2022,6:00:00,2842.5,7.9225
14.01.2022,7:00:00,2842.6,11.4921
14.01.2022,8:00:00,2842.5,7.9225
14.01.2022,9:00:00,2842.5,7.9225
14.01.2022,10:00:00,2842.5,7.9225
14.01.2022,11:00:00,2842.5,7.9225
14.01.2022,12:00:00,2842.5,7.9225
14.01.2022,13:00:00,2842.5,7.9225
14.01.2022,14:00:00,2842.5,7.9225
14.01.2022,15:00:00,2842.5,7.9225
14.01.2022,16:00:00,2842.5,7.9225
14.01.2022,17:00:00,2842.5,7.9225
14.01.2022,18:00:00,2842.5,7.9225
14.01.2022,19:00:00,2842.5,7.9225
14.01.2022,20:00:00,2842.5,7.9225
14.01.2022,21:00:00,2842.5,7.9225
14.01.2022,22:00:00,2842.5,7.9225
14.01.2022,23:00:00,2842.5,7.9225
15.01.2022,0:00:00,2842.5,7.9225
15.01.2022,1:00:00,2842.6,11.4921
15.01.2022,2:00:00,2842.6,11.4921
15.01.2022,3:00:00,2842.6,11.4921
15.01.2022,4:00:00,2842.6,11.4921
15.01.2022,5:00:00,2842.6,11.4921
15.01.2022,6:00:00,2842.6,11.4921
15.01.2022,7:00:00,2842.6,11.4921
15.01.2022,8:00:00,2842.5,7.9225
15.01.2022,9:00:00,2842.5,7.9225
15.01.2022,10:00:00,2842.5,7.9225
15.01.2022,11:00:00,2842.5,7.9225
15.01.2022,12:00:00,2842.5,7.9225
15.01.2022,13:00:00,2842.5,7.9225
15.01.2022,14:00:00,2842.6,11.4921
15.01.2022,15:00:00,2842.6,11.4921
15.01.2022,16:00:00,2842.5,7.9225
15.01.2022,17:00:00,2842.5,7.9225
15.01.2022,18:00:00,2842.5,7.9225
15.01.2022,19:00:00,2842.5,7.9225
15.01.2022,20:00:00,2842.5,7.9225
15.01.2022,21:00:00,2842.5,7.9225
15.01.2022,22:00:00,2842.5,7.9225
15.01.2022,23:00:00,2842.5,7.9225
16.01.2022,0:00:00,2842.5,7.9225
16.01.2022,1:00:00,2842.5,7.9225
16.01.2022,2:00:00,2842.5,7.9225
16.01.2022,3:00:00,2842.5,7.9225
16.01.2022,4:00:00,2842.5,7.9225
